 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;"0,000"
07:45;"0,000"
08:00;"0,062"
08:15;"0,250"
08:30;"0,485"
08:45;"0,741"
09:00;"0,913"
09:15;"0,961"
09:30;"1,100"
09:45;"1,426"
10:00;"1,858"
10:15;"1,109"
10:30;"2,110"
10:45;"2,281"
11:00;"2,331"
11:15;"2,294"
11:30;"1,766"
11:45;"1,713"
12:00;"1,876"
12:15;"0,864"
12:30;"0,790"
12:45;"0,933"
13:00;"0,876"
13:15;"0,758"
13:30;"0,737"
13:45;"0,845"
14:00;"0,957"
14:15;"1,314"
14:30;"1,203"
14:45;"0,904"
15:00;"0,911"
15:15;"0,696"
15:30;"0,642"
15:45;"0,559"
16:00;"0,488"
16:15;"0,314"
16:30;"0,238"
16:45;"0,279"
17:00;"0,160"
17:15;"0,108"
17:30;"0,072"
17:45;"0,016"
18:00;"0,023"
18:15;"0,006"
18:30;"0,000"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
